board,angle,climb_name,date,logged_grade,displayed_grade,difficulty,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,35,speed clean,2022-10-03 18:37:39,6a+,6a,16.5,2,True,1,2,False,True,
tension,35,warm up stretch,2022-10-21 16:43:52,5b,5b,13.8824,1,False,4,6,True,True,
tension,35,warm up stretch,2022-10-21 16:46:36,5b,5b,13.8824,1,True,2,2,True,True,
tension,35,let's get warm,2022-10-21 16:52:30,5b,5b,14.0,1,False,2,2,True,True,
tension,35,Big Pinch Pinchin',2022-10-21 16:59:45,6b+,6b+,19.2802,1,False,2,4,True,True,
tension,35,Kestrel #2,2022-10-21 17:06:16,5c,5c,14.6818,1,False,1,1,False,True,
tension,35,By the Power of Moshe,2022-10-21 17:14:32,6b,6b,18.0,1,True,1,1,False,True,
tension,35,Mitochondria is the powerhouse of the cell,2022-10-21 17:27:25,6b,6b,18.0,1,False,1,1,False,True,
tension,35,No Brunch for this Bunch,2022-10-21 17:41:42,6b,6b,18.0,2,False,2,3,True,True,
tension,35,Protector of the Skinny Dog,2022-10-21 18:04:21,6c,6c,19.9647,1,False,2,2,True,True,
tension,35,hi there 3,2022-10-21 18:51:04,6a,6a,16.0,1,False,2,2,True,True,
tension,35,FIYAH!,2022-11-18 00:00:00,,6b,18.0,1,False,2,3,True,False,
tension,35,Just the Good Ones,2022-11-18 16:20:57,5b,5b,14.0,1,False,1,1,False,True,
tension,35,shwarm up,2022-11-18 16:24:49,5c,5c,14.9171,1,False,1,1,False,True,
tension,35,Sea Freight,2022-11-18 16:32:13,5c,5c,15.0,1,False,2,2,True,True,
tension,35,Thrilla in Manila,2022-11-18 16:35:17,5c,5c,15.0,2,False,1,2,False,True,
tension,35,crimpers,2022-11-18 16:41:33,6a,6a,15.75,2,False,1,2,False,True,
tension,35,Monkey Business,2022-11-25 00:00:00,,6a,16.1842,1,True,1,1,False,False,
tension,35,Dolly Dagger,2022-11-25 17:52:07,5c,5c,15.0,1,False,1,1,False,True,
tension,35,Big Fish,2022-11-25 17:53:21,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Crystalline,2022-11-25 17:55:07,6a,6a,16.0,1,False,1,1,False,True,
tension,35,Sensorium,2022-11-25 18:01:20,6b,6a,16.0,1,False,1,1,False,True,
tension,35,Death Note,2022-11-25 18:07:56,6a+,6a,16.0,1,True,1,1,False,True,
tension,35,Captain Tight Pants,2022-11-25 18:32:24,6b,6b,17.9268,1,True,1,1,False,True,
tension,35,Dog,2022-12-02 18:26:40,6c,6c,19.8815,1,False,2,2,True,True,
tension,35,Protector of the Skinny Dog,2022-12-09 00:00:00,,6c,19.9647,2,True,1,2,False,False,
tension,35,FBF3,2022-12-09 14:17:18,5b,5b,14.0,1,False,1,1,False,True,
